Goal;File;RMSE;NMRSE;MAE;MAPE;SMAPE;R2;ITAE;ISE;Control Effort;CC;Goal Range
Fixed;Experiment-AsTAR-None;362,706600;0,175068;275,072665;75,848159;34,115592;-0,204919;82521,799576;39466823,303787;8657,000000;1613,659958;52,666667
Fixed;Experiment-BasicPID-AMIGO;548,021815;0,248965;469,999332;90,775989;52,711626;-0,000678;140999,799622;90098372,953208;11231,000000;2611,287514;23,666667
Fixed;Experiment-BasicPID-Cohen;394,112255;0,201819;306,318668;59,130316;34,274734;-0,002076;91895,600388;46597340,893444;9347,000000;1288,933956;45,333333
Fixed;Experiment-BasicPID-RootLocus;375,099140;0,222928;282,739331;151,069741;35,392038;-0,068379;84821,799414;42209809,355995;6875,000000;502,978023;49,333333
Fixed;Experiment-BasicPID-Ziegler;369,833709;0,223276;278,749333;309,461152;35,877214;-0,107010;83624,800018;41033091,788800;8381,000000;543,854780;49,333333
Fixed;Experiment-HPA-None;286,403170;0,091049;176,233333;38,011057;18,899223;-0,015995;52869,999826;24608032,794879;12817,000000;1915,609796;74,333333
Fixed;Experiment-OnOff-None;3882,643095;0,435079;2905,488001;218,964910;126,530554;-0,456151;871646,400360;4522475221,595616;1500150,000000;662311,392611;0,333333
Fixed;Experiment-OnOffwithDeadZone-None;3625,225961;0,403556;2756,279324;202,608269;127,159188;-0,448482;826883,797226;3942678980,878368;1500150,000000;672630,230138;0,000000
Fixed;Experiment-OnOffwithHysteresis-None;3395,021723;0,450077;2628,799335;202,127880;126,633508;-0,446936;788639,800446;3457851750,692733;1500150,000000;684653,982339;0,333333
Fixed;Experiment-SmoothingDerivativePID-AMIGO;553,062456;0,256761;464,266668;84,198730;51,363037;-0,000091;139280,000397;91763424,156448;11723,000000;2699,674214;24,666667
Fixed;Experiment-SmoothingDerivativePID-Cohen;473,510933;0,247419;391,085335;76,871565;44,324465;-0,001420;117325,600636;67263781,009547;9837,000000;1729,593434;34,333333
Fixed;Experiment-SmoothingDerivativePID-RootLocus;350,794215;0,220653;260,224670;66,341242;31,942504;-0,062899;78067,401047;36916974,362282;6432,000000;482,633889;51,666667
Fixed;Experiment-SmoothingDerivativePID-Ziegler;289,495668;0,205200;206,957331;54,871184;25,613178;-0,101534;62087,199261;25142322,552925;4527,000000;269,842163;68,666667
Fixed;Experiment-DeadZonePID-AMIGO;414,778217;0,192241;299,622665;65,171849;33,781380;-0,001960;89886,799423;51612290,851257;13635,000000;2435,969674;50,666667
