Controller;RMSE;NMRSE;MAPE;SMAPE;ITAE;IAE;ISE;Control Effort;R2;Goal Range 
SmoothingDerivativePID-RootLocus;350.794215;0.220653;66.341242;31.942504;58499785.642052;78067.401047;36916974.362282;1306.000000;NaN;51.666667
OnOffwithDeadZone-None;3625.225961;0.403556;202.608269;127.159188;598832784.514694;826883.797226;3942678980.878368;15150.000000;NaN;0.000000
SetpointWeighting-RootLocus;401.486986;0.213944;107.511505;37.333306;58078516.717072;87094.799812;48357540.001334;1434.000000;NaN;47.333333
PIWithTwoDegreesOfFreedom-Ziegler;360.951371;0.217572;74.386570;33.550337;55715028.849411;79202.199844;39085767.598706;1415.000000;NaN;48.666667
GainScheduling-RootLocus;561.089873;0.108764;92.801885;33.031172;58371429.575119;84478.599602;94446553.708758;1848.000000;NaN;61.333333
ErrorSquarePIDFull-Ziegler;1877.062063;0.257980;304.090503;120.694046;291227443.858509;389958.400333;1057008596.156021;5855.000000;NaN;0.333333
ErrorSquarePIDFull-Cohen;1908.485011;0.243890;277.145500;120.222176;294660820.559502;392781.799950;1092694510.652855;5943.000000;NaN;0.000000
GainScheduling-AMIGO;426.326132;0.092027;58.798942;27.347820;54959847.401085;71226.999367;54526191.215424;1421.000000;NaN;71.000000
ErrorSquarePIDProportional-RootLocus;766.342774;2.306872;433.837241;124.523415;171506598.113432;228859.000202;176184374.142356;300.000000;NaN;0.000000
OnOff-None;3882.643095;0.435079;218.964910;126.530554;640373552.866173;871646.400360;4522475221.595616;15150.000000;NaN;0.333333
OnOffwithHysteresis-None;3395.021723;0.450077;202.127880;126.633508;578670662.911453;788639.800446;3457851750.692733;15150.000000;NaN;0.333333
BasicPI-AMIGO;512.990623;0.269853;86.358910;49.035152;89868585.057526;129390.800003;78947813.696984;1717.000000;NaN;26.666667
BasicPID-Ziegler;369.833709;0.223276;309.461152;35.877214;65105342.668607;83624.800018;41033091.788800;1493.000000;NaN;49.333333
PIWithTwoDegreesOfFreedom-RootLocus;349.177912;0.215808;74.870128;31.614367;54365939.803009;75837.799889;36577564.352775;1361.000000;NaN;54.666667
IncrementalFormPID-Cohen;305.516144;0.163798;40.540845;24.787979;51049341.031303;67244.000206;28002034.217231;1759.000000;NaN;55.666667
ErrorSquarePIDProportional-Ziegler;3311.157661;0.388051;201.134263;124.804091;577579392.678280;770816.000141;3289129517.528185;13076.000000;NaN;0.333333
BasicP-AMIGO;754.668897;2.285490;363.239503;121.401145;170376319.081345;225521.600060;170857543.051081;300.000000;NaN;0.000000
DeadZonePID-RootLocus;301.054553;0.215501;56.007440;26.236267;43635503.204346;62854.200184;27190153.123364;1065.000000;NaN;65.666667
DeadZonePID-AMIGO;414.778217;0.192241;65.171849;33.781380;58700940.546265;89886.799423;51612290.851257;1745.000000;NaN;50.666667
ErrorSquarePIDProportional-Cohen;3210.305129;0.380341;198.293136;124.156317;551572771.779480;735738.401031;3091817706.067571;13034.000000;NaN;0.000000
DeadZonePID-Ziegler;299.235998;0.214475;51.892378;25.852067;47839516.652336;61709.599674;26862654.822482;1207.000000;NaN;61.000000
GainScheduling-Cohen;275.243262;0.171065;42.512599;22.782078;40281519.764023;57829.000641;22727656.022296;1231.000000;NaN;69.666667
SmoothingDerivativePID-AMIGO;553.062456;0.256761;84.198730;51.363037;98033020.373077;139280.000397;91763424.156448;1583.000000;NaN;24.666667
ErrorSquarePIDProportional-AMIGO;2115.524537;0.284192;200.031774;110.890802;355086647.282982;476503.400490;1342633220.380618;8957.000000;NaN;1.333333
AsTAR-None;362.706600;0.175068;75.848159;34.115592;58393431.929970;82521.799576;39466823.303787;1383.000000;NaN;52.666667
HPA-None;286.403170;0.091049;38.011057;18.899223;37880354.084826;52869.999826;24608032.794879;1695.000000;NaN;74.333333
BasicP-Cohen;749.398547;2.365526;337.123267;120.026021;168618324.982224;223928.999939;168479454.659217;300.000000;NaN;0.000000
BasicPID-Cohen;394.112255;0.201819;59.130316;34.274734;66646661.485062;91895.600388;46597340.893444;1509.000000;NaN;45.333333
DeadZonePID-Cohen;472.316817;0.174068;67.406287;41.637901;81558635.390968;113154.599342;66924952.613662;1643.000000;NaN;36.666667
ErrorSquarePIDFull-AMIGO;1896.628447;0.250757;314.017655;119.459507;290377915.109234;388304.401042;1079159839.870072;5814.000000;NaN;0.000000
BasicP-Ziegler;740.293034;2.011666;325.956191;117.709958;168862304.889145;221098.599907;164410133.037964;300.000000;NaN;0.000000
BasicPID-RootLocus;375.099140;0.222928;151.069741;35.392038;61283429.711533;84821.799414;42209809.355995;1351.000000;NaN;49.333333
SetpointWeighting-Ziegler;327.463716;0.215210;67.412536;29.822744;51823635.221176;72019.000179;32169745.553885;1296.000000;NaN;57.000000
IncrementalFormPID-RootLocus;367.353371;0.203746;89.832835;34.462151;57776404.836302;82424.600195;40484549.675208;1510.000000;NaN;49.333333
GainScheduling-Ziegler;575.629847;0.094353;97.178334;32.145520;61128213.839550;83529.999063;99404916.359729;1529.000000;NaN;63.666667
