0 ; 1 ; 216
5 ; 1 ; 166.4
10 ; 1 ; 240
15 ; 1 ; 262.2
20 ; 1 ; 261.6
25 ; 1 ; 265.6
30 ; 1 ; 267.6
35 ; 1 ; 250.8
40 ; 1 ; 277.8
45 ; 1 ; 261
50 ; 1 ; 269.4
55 ; 1 ; 263.2
60 ; 1 ; 262.4
65 ; 1 ; 265.4
70 ; 1 ; 249
75 ; 1 ; 279
80 ; 1 ; 270.6
85 ; 1 ; 258.4
90 ; 1 ; 264.2
95 ; 1 ; 252.2
100 ; 1 ; 256.2
105 ; 1 ; 260.4
110 ; 1 ; 265
115 ; 1 ; 274.2
120 ; 1 ; 252.6
125 ; 1 ; 267.2
130 ; 1 ; 277.2
135 ; 1 ; 246.6
140 ; 1 ; 269.6
145 ; 1 ; 265.4
150 ; 2 ; 472.8
155 ; 2 ; 460.2
160 ; 2 ; 434.2
165 ; 2 ; 478.2
170 ; 2 ; 517
175 ; 2 ; 497
180 ; 2 ; 474.2
185 ; 2 ; 460.4
190 ; 2 ; 451.4
195 ; 2 ; 477.4
200 ; 2 ; 517.6
205 ; 2 ; 484.4
210 ; 2 ; 445
215 ; 2 ; 454.8
220 ; 2 ; 463.4
225 ; 2 ; 477.8
230 ; 2 ; 461.4
235 ; 2 ; 513.8
240 ; 2 ; 478.2
245 ; 2 ; 452.4
250 ; 2 ; 466
255 ; 2 ; 442.4
260 ; 2 ; 491.6
265 ; 2 ; 494.8
270 ; 2 ; 469
275 ; 2 ; 489.6
280 ; 2 ; 472.4
285 ; 2 ; 439.6
290 ; 2 ; 475
295 ; 2 ; 425.2
300 ; 2 ; 462
305 ; 3 ; 610.8
310 ; 3 ; 646.4
315 ; 3 ; 596.8
320 ; 3 ; 643.8
325 ; 3 ; 634.4
330 ; 3 ; 618.8
335 ; 3 ; 611
340 ; 3 ; 688.8
345 ; 3 ; 635.6
350 ; 3 ; 648.6
355 ; 3 ; 573.2
360 ; 3 ; 657.4
365 ; 3 ; 615.4
370 ; 3 ; 633
375 ; 3 ; 580.6
380 ; 3 ; 623.8
385 ; 3 ; 653
390 ; 3 ; 593.2
395 ; 3 ; 680.8
400 ; 3 ; 597.8
405 ; 3 ; 688.6
410 ; 3 ; 653.4
415 ; 3 ; 621.6
420 ; 3 ; 664.6
425 ; 3 ; 630
430 ; 3 ; 603.2
435 ; 3 ; 639.4
440 ; 3 ; 642.6
445 ; 3 ; 543.8
450 ; 3 ; 563.2
455 ; 3 ; 673.4
460 ; 4 ; 673.8
465 ; 4 ; 667.4
470 ; 4 ; 24.6
475 ; 4 ; 15
480 ; 4 ; 38.2
485 ; 4 ; 715.2
490 ; 4 ; 755.4
495 ; 4 ; 750.6
500 ; 4 ; 748.2
505 ; 4 ; 693.2
510 ; 4 ; 695.2
515 ; 4 ; 716.4
520 ; 4 ; 728.2
525 ; 4 ; 674.6
530 ; 4 ; 711.8
535 ; 4 ; 737.8
540 ; 4 ; 750.6
545 ; 4 ; 727.2
550 ; 4 ; 748
555 ; 4 ; 715.2
560 ; 4 ; 714.8
565 ; 4 ; 754.6
570 ; 4 ; 645.2
575 ; 4 ; 734.8
580 ; 4 ; 752
585 ; 4 ; 738.6
590 ; 4 ; 721
595 ; 4 ; 708.2
600 ; 4 ; 711.4
605 ; 4 ; 704.4
610 ; 4 ; 771.4
615 ; 5 ; 844.4
620 ; 5 ; 769.8
625 ; 5 ; 819.8
630 ; 5 ; 711.2
635 ; 5 ; 841.2
640 ; 5 ; 793.2
645 ; 5 ; 798.8
650 ; 5 ; 856.2
655 ; 5 ; 808.4
660 ; 5 ; 860.6
665 ; 5 ; 829.2
670 ; 5 ; 783
675 ; 5 ; 866
680 ; 5 ; 794.6
685 ; 5 ; 761.4
690 ; 5 ; 748.8
695 ; 5 ; 869.2
700 ; 5 ; 830.8
705 ; 5 ; 813
710 ; 5 ; 787.6
715 ; 5 ; 838.6
720 ; 5 ; 822.6
725 ; 5 ; 866.4
730 ; 5 ; 763.6
735 ; 5 ; 810.2
