AsTAR;None;189.707785;157.144443;52.789017;24.264415;0.424839
BasicP;Cohen;332.029501;286.591112;67.276677;46.456696;-4.308336
BasicP;RootLocus;413.166239;351.066669;59.010357;45.611903;0.252822
BasicP;Ziegler;331.519929;261.274447;54.185256;38.335094;0.185682
BasicPI;AMIGO;190.328995;160.083336;25.371507;22.969895;0.527607
BasicPI;Cohen;622.703055;449.557778;66.326425;52.731794;0.098330
BasicPI;RootLocus;231.999979;191.585555;30.779283;27.097733;0.434055
BasicPI;Ziegler;410.512954;351.723332;61.807328;46.031181;0.204338
BasicPID;AMIGO;266.096325;209.234444;48.117780;30.621684;0.369759
BasicPID;Cohen;329.062772;269.406668;48.495150;37.106930;0.286172
BasicPID;RootLocus;243.382918;190.287777;37.590987;26.955056;0.403782
BasicPID;Ziegler;511.667339;375.468889;68.389504;46.192581;0.133739
DeadZonePID;AMIGO;196.741290;157.007778;25.881887;22.151659;0.615029
DeadZonePID;Cohen;259.150056;203.417779;36.350792;29.008443;0.440253
DeadZonePID;RootLocus;194.579683;148.501113;42.062866;21.550164;0.606357
DeadZonePID;Ziegler;443.733864;315.661112;73.474484;40.650676;0.207574
GainScheduling;AMIGO;219.379724;171.592222;35.516909;25.331946;0.371456
GainScheduling;Cohen;209.350671;183.399998;90.626859;47.906597;-0.584628
GainScheduling;RootLocus;771.205662;280.146667;58.801249;33.755389;0.064278
GainScheduling;Ziegler;227.680775;175.911111;35.288683;25.615326;0.430433
HPA;None;117.148598;92.851114;14.035222;13.225217;0.837069
IncrementalFormPID;AMIGO;249.876001;211.599999;32.496138;29.422023;0.311737
IncrementalFormPID;Cohen;240.279423;211.825559;31.383499;29.292910;0.340160
IncrementalFormPID;RootLocus;164.326913;132.047777;21.628783;19.085281;0.598845
IncrementalFormPID;Ziegler;1999.409538;1537.891108;77.953779;91.302446;-0.616923
PIWithTwoDegreesOfFreedom;AMIGO;164.332856;135.522223;21.581291;19.819365;0.610239
PIWithTwoDegreesOfFreedom;Cohen;649.068358;487.841114;72.906434;57.275970;0.091185
PIWithTwoDegreesOfFreedom;RootLocus;197.420185;163.594445;25.744843;23.343349;0.515084
PIWithTwoDegreesOfFreedom;Ziegler;410.291370;358.087778;60.488947;47.394119;0.204804
SetpointWeighting;AMIGO;165.987246;160.911116;46.100965;37.227704;-0.573332
SetpointWeighting;Cohen;168.148227;140.689358;32.335727;28.332441;-0.009564
SetpointWeighting;RootLocus;211.254806;169.174443;27.305804;23.525765;0.485665
SetpointWeighting;Ziegler;431.298571;359.721111;60.965752;46.486610;0.191760
SmoothingDerivativePID;AMIGO;230.028685;178.375555;79.190817;26.249572;0.443303
SmoothingDerivativePID;Cohen;300.707176;228.495553;61.963023;32.559056;0.309929
SmoothingDerivativePID;RootLocus;201.660021;166.161112;28.337958;24.164849;0.518004
SmoothingDerivativePID;Ziegler;438.925728;365.857778;62.542976;47.502258;0.184201
