Controller ; RMSE ; NMRSE ; ITAE ; Goal Range
C1;366,941;0,230;48491618;82,00 
C5;337,224;0,214;44452400;83,67 
C11;271,748;0,171;32520906;87,33 
C7;593,384;0,412;102810641;34,67 
C9;1386,802;0,868;295252780;2,33 
C16;324,948;0,207;42315236;74,33 
C17;407,307;0,252;69949543;75,33 
C12;242,846;0,152;29479298;91,33 
C13;581,057;0,365;95333550;51,67 
C14;566,180;0,354;100373252;43,67 
C2;305,810;0,191;42310666;80,33 
C4;341,468;0,216;45753783;82,67 
C6;349,083;0,221;43117256;81,33 
C8;456,729;0,298;70501877;61,33 
C10;254,993;0,160;30550048;88,33 
C15;560,239;0,339;86727903;49,00 
C3;303,044;0,191;37104826;86,33 
C18;234,074;0,147;26882957;93,00 
