Ramp;Training;[1 15];(7.500000,1788.008756);(0.079891,150.986837);45.708925;0.826595
Ramp;Training;[1 51];(25.500000,3410.841161);(0.622796,28.873054);227.145781;0.433605
Ramp;Training;[1 100];(50.000000,4631.275790);(0.769475,10.960405);259.529403;0.080343
Ramp;Testing;[1 15];(7.500000,1629.711521);(0.239618,101.603224);119.500602;0.854241
Ramp;Testing;[1 51];(25.500000,3351.776129);(0.803767,12.757353);193.267316;0.320241
Ramp;Testing;[1 100];(50.000000,4424.851874);(0.875642,4.366979);201.846589;0.083599
Sine;Training;[1 15];(41.642857,3617.995853);(0.283042,34.811825);1119.916424;-0.529321
Sine;Training;[1 50];(47.224490,3370.866228);(0.603296,11.797171);1009.564053;0.008644
Sine;Training;[1 102];(50.336634,3318.117023);(0.643235,9.150837);933.362161;0.167200
