File;RMSE;NMRSE;MAE;MAPE;SMAPE;R2;ITAE;ISE;Control Effort;CC;Goal Range
Variable;Experiment-PIWithTwoDegreesOfFreedom-RootLocus;213,944337;0,122310;131,853334;22,087656;14,811953;0,545957;118668,000839;41194961,308733;10785,000000;985,255764;78,222222
Variable;Experiment-PIWithTwoDegreesOfFreedom-Ziegler;244,581655;0,099407;171,320222;41,443805;19,564829;0,473589;154188,199841;53838167,358483;19464,000000;1017,031769;71,888889
Variable;Experiment-SetpointWeighting-AMIGO;768,993227;0,234607;676,431779;121,507760;67,094218;0,095399;608788,601112;532215525,508404;46462,000000;16629,345131;12,888889
Variable;Experiment-SetpointWeighting-Cohen;452,633727;0,121650;364,458890;61,383156;38,759055;0,231185;328013,000618;184389561,361678;33751,000000;5579,978813;38,777778
Variable;Experiment-SetpointWeighting-RootLocus;252,642847;0,131080;179,372223;32,774602;20,330377;0,449544;161435,000271;57445567,173952;21502,000000;1438,481619;69,333333
Variable;Experiment-SetpointWeighting-Ziegler;255,687911;0,109813;185,726891;52,717488;20,291647;0,444000;167154,201783;58838676,826216;17468,000000;1074,026447;69,111111
Variable;Experiment-SmoothingDerivativePID-AMIGO;731,768205;0,236085;645,282225;118,301320;64,883306;0,102390;580754,002296;481936235,028380;47069,000000;16245,373577;13,333333
Variable;Experiment-SmoothingDerivativePID-Cohen;431,835592;0,161506;339,602445;52,023463;35,708621;0,244766;305642,200287;167833780,692723;26781,000000;4388,885942;41,777778
Variable;Experiment-SmoothingDerivativePID-Ziegler;229,467903;0,131908;157,158890;34,686949;17,811238;0,478641;141443,001350;47389966,531050;22728,000000;1433,264312;74,666667
Variable;Experiment-DeadZonePID-AMIGO;672,593585;0,162227;564,745779;99,926720;57,768245;0,106784;508271,201523;407143917,297373;46053,000000;15127,433303;22,555556
Variable;Experiment-SmoothingDerivativePID-RootLocus;236,799490;0,135376;159,400445;31,685891;18,233711;0,478867;143460,400661;50466598,442212;23024,000000;1451,077456;74,444444
Variable;Experiment-DeadZonePID-AMIGO;672,593585;0,162227;564,745779;99,926720;57,768245;0,106784;508271,201523;407143917,297373;46053,000000;15127,433303;22,555556
